holding;brand;position;name;linkedin;phone;email;telegram;source_url;notes
Rosinter Restaurants Holding;IL Патио;Директор по маркетингу бренда;Элла Нистратова;;;;;https://www.retail.ru/interviews/ella-nistratova-il-patio-planiruem-otkryt-minimum-15-restoranov-vklyuchaya-flagman-na-nikolskoy/;"Бренд-директор IL Патио; также СВП холдинга по маркетингу"
Novikov Group;Сыроварня;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;Магадан;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;Farш;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;5642 Высота;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;Колбасный Цех;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;Клёво;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;Savva;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;Onest;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;ARTEST;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;Sirena;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;Царская Охота;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;Аист;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;Узбекистан;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;Причал;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;China Club;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;Mr. Lee;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;Fumisawa Sushi;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;Cantinetta Antinori;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;Assunta Madre;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;Рыбы Нет;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;BRO&N;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;Недальний Восток;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;Kaifuso;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;Brasserie Кузнецкий Мост;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;№13 Restaurant;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;Lali;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;PRO.Хинкали;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;Pro.Мидии;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;Сорренто;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;Южанин;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Novikov Group;Avocado Queen;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;Buono;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;Butler;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;Christian;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;Sixty;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;Uilliam's;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;AQ Kitchen;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;Рыбторг;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;Рыбторг Seafood Bar;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;Mari Vanna;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;Пряности & Радости;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;Мансарда;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;Terrassa;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;Ribay;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;Хочу Харчо;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;МамаLыga;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;Suli Guli;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;Capuletti;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;Volga-Volga;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;Корюшка;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;Baklazhan;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;Jelsomino Cafe;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;Dandy Cafe;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;Puri;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;Moscow;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;Moskva;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;Katyusha;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;The Repa;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;Sunday Ginza;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;Kukumber;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Ginza Project;Plyushkin;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
